// Compost colors for just_bees. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_pollen, #96b822
red_ant_queen, #8a4426
red_mushroom_spore, #ff3e41
red_tulip_honey_pot, #ffca9a
red_tulip_pollen, #ff3c39
refined_iron_ingot, #e4ddd6
rgbee_drone, #c0bcb9
rgbee_dye, #78706c
rgbee_honeycomb, #8a827c
rgbee_princess, #b8b2b1
rgbee_queen, #b2acab
rose_honey_pot, #ffca9a
rose_pollen, #eb3628
royal_jelly, #ffda44
scoop, #bcb29e
sculk_spore, #e5765
sherry_glass, #caffff
shot_glass, #d6ffff
shroomlight_spore, #ffc04b
signalum_ingot, #ff6e23
silk, #ffffff
silk_coating, #ffffff
silkworm, #ffffd4
silky_diamond_pickaxe, #7f9b7c
silky_golden_pickaxe, #bba05c
silky_iron_pickaxe, #aa9d86
silky_netherite_pickaxe, #877276
silky_stone_pickaxe, #9a8d76
silky_wooden_pickaxe, #96805a
silver_ingot, #feffff
singularity, #974e87
singurality_fragment, #ac65a0
small_rose, #c25a33
small_rose_pollen, #948032
small_sunflower, #e6de47
small_sunflower_pollen, #ffed44
snail, #a88670
snifter_glass, #d2ffff
spider_leg, #41372d
spore_blossom_pollen, #ff87f7
spore_blosson_honey_pot, #ffd2a4
spruce_pollen, #335133
steel_ingot, #9496a2
sunflower_honey_pot, #ffd29b
sunflower_pollen, #ffeb3e
termite_drone, #9d613e
termite_king, #a77355
termite_princess, #9d643c
termite_queen, #b57a40
thick_liquid_honey_bucket, #eac37d
tin_ingot, #faffff
torchflower_honey_pot, #ffca9d
torchflower_pollen, #ff7923
unweary_drone, #bbf8bc
unweary_princess, #b9f2b4
unweary_queen, #c8fbb2
uranium_ingot, #e0ffa0
valiant_drone, #dae1b1
valiant_princess, #d6ddaa
valiant_queen, #e3e7a8
wall_moss, #799840
warped_fungus_spore, #48b89e
warped_wart_spore, #20a8a4
wheat_grains, #ffe87c
white_tulip_honey_pot, #ffdcac
white_tulip_pollen, #fbffff
wild_honey_pot, #ffdca5
wine, #bf9eff
wine_bottle, #b13e5f
wine_bucket, #ac96ae
wine_glass, #c8feff
wither_rose_honey_pot, #f8bf98
wither_rose_pollen, #342820
worm, #ffe7c2
woven, #ffffff
yeast, #ccb261
zebra_swallow_butterfly_item, #91979a
zinc_ingot, #d7f2ee
